dealer_name,street_address,city,state,zip,telephone,phone_status,active,full_address,map_url,source_page,notes
7 Leguas Feed & Seeds LLC Weslaco,3825 E Interstate Hwy 2,Weslaco,TX,78599,(956) 294-1151,Verified current listing,True,"3825 E Interstate Hwy 2, Weslaco, TX 78599",https://www.google.com/maps/search/?api=1&query=3825%20E%20Interstate%20Hwy%202%2C%20Weslaco%2C%20TX%2078599,1,
7 Leguas Feed & Seed Olmito,260 FM 511 Rd S,Olmito,TX,78575,(956) 621-0295,Verified current listing,True,"260 FM 511 Rd S, Olmito, TX 78575",https://www.google.com/maps/search/?api=1&query=260%20FM%20511%20Rd%20S%2C%20Olmito%2C%20TX%2078575,1,
A & V Lopez Supermarket Bocachica,3831 Bocachica Blvd,Brownsville,TX,78521,(956) 554-3964,Verified current listing,True,"3831 Bocachica Blvd, Brownsville, TX 78521",https://www.google.com/maps/search/?api=1&query=3831%20Bocachica%20Blvd%2C%20Brownsville%2C%20TX%2078521,1,
A & V Lopez Supermarket Military,384 Military Hwy,Brownsville,TX,78520,(956) 544-4400,Verified current listing,True,"384 Military Hwy, Brownsville, TX 78520",https://www.google.com/maps/search/?api=1&query=384%20Military%20Hwy%2C%20Brownsville%2C%20TX%2078520,1,
A & V Lopez Supermarket Paredes,6214 Paredes Line Rd,Brownsville,TX,78526,(956) 620-3078,Verified current listing,True,"6214 Paredes Line Rd, Brownsville, TX 78526",https://www.google.com/maps/search/?api=1&query=6214%20Paredes%20Line%20Rd%2C%20Brownsville%2C%20TX%2078526,1,
A & V Lopez Supermarket San Benito,860 Sam Houston Blvd,San Benito,TX,78586,(956) 399-4111,Verified current listing,True,"860 Sam Houston Blvd, San Benito, TX 78586",https://www.google.com/maps/search/?api=1&query=860%20Sam%20Houston%20Blvd%2C%20San%20Benito%2C%20TX%2078586,1,
A & V Lopez Supermarket Southmost,3244 Southmost Blvd,Brownsville,TX,78520,(956) 541-7535,Verified current listing,True,"3244 Southmost Blvd, Brownsville, TX 78520",https://www.google.com/maps/search/?api=1&query=3244%20Southmost%20Blvd%2C%20Brownsville%2C%20TX%2078520,1,
Alamo Feed Store,100 CR 770,Natalia,TX,78059,(830) 665-2060,Verified current listing,True,"100 CR 770, Natalia, TX 78059",https://www.google.com/maps/search/?api=1&query=100%20CR%20770%2C%20Natalia%2C%20TX%2078059,1,
Alimentos Balanceados El Ranchito,1728 N Alton Blvd,Alton,TX,78573,(956) 442-6680,Verified current listing,True,"1728 N Alton Blvd, Alton, TX 78573",https://www.google.com/maps/search/?api=1&query=1728%20N%20Alton%20Blvd%2C%20Alton%2C%20TX%2078573,1,
Andy's Feed & Pet Store PHARR,134 W State Ave,Pharr,TX,78577,(956) 283-8445,Verified current listing,True,"134 W State Ave, Pharr, TX 78577",https://www.google.com/maps/search/?api=1&query=134%20W%20State%20Ave%2C%20Pharr%2C%20TX%2078577,1,
Andy's Feed & Pet Supplies DONNA,119 N Salinas Blvd,Donna,TX,78537,(956) 461-1072,Verified current listing,True,"119 N Salinas Blvd, Donna, TX 78537",https://www.google.com/maps/search/?api=1&query=119%20N%20Salinas%20Blvd%2C%20Donna%2C%20TX%2078537,1,
Arredondo Feeders & Blinds,48 Bomber Lane,Rio Grande City,TX,78582,,Needs phone verification,True,"48 Bomber Lane, Rio Grande City, TX 78582",https://www.google.com/maps/search/?api=1&query=48%20Bomber%20Lane%2C%20Rio%20Grande%20City%2C%20TX%2078582,1,
Brothers Farm & Ranch,9312 W Expressway 83,Harlingen,TX,78552,(956) 230-0637,Verified current listing,True,"9312 W Expressway 83, Harlingen, TX 78552",https://www.google.com/maps/search/?api=1&query=9312%20W%20Expressway%2083%2C%20Harlingen%2C%20TX%2078552,1,
Bulverde Feed & Seed,29110 US Hwy 281 N,Bulverde,TX,78163,(830) 438-3252,Verified current listing,True,"29110 US Hwy 281 N, Bulverde, TX 78163",https://www.google.com/maps/search/?api=1&query=29110%20US%20Hwy%20281%20N%2C%20Bulverde%2C%20TX%2078163,1,
Callahan's General Store,501 S Hwy 183,Austin,TX,78741,(512) 385-3452,Verified current listing,True,"501 S Hwy 183, Austin, TX 78741",https://www.google.com/maps/search/?api=1&query=501%20S%20Hwy%20183%2C%20Austin%2C%20TX%2078741,1,
Canutillo Feed,6853 Doniphan Dr.,Canutillo,TX,79835,(915) 549-8035,Verified current listing,True,"6853 Doniphan Dr., Canutillo, TX 79835",https://www.google.com/maps/search/?api=1&query=6853%20Doniphan%20Dr.%2C%20Canutillo%2C%20TX%2079835,1,
Circle G Feed,2500 Auburn Ave,McAllen,TX,78504,(956) 631-1321,Verified current listing,True,"2500 Auburn Ave, McAllen, TX 78504",https://www.google.com/maps/search/?api=1&query=2500%20Auburn%20Ave%2C%20McAllen%2C%20TX%2078504,1,
Circle P Ranch Supply,6200 N Golder Ave.,Odessa,TX,79764,(432) 362-3222,Verified current listing,True,"6200 N Golder Ave., Odessa, TX 79764",https://www.google.com/maps/search/?api=1&query=6200%20N%20Golder%20Ave.%2C%20Odessa%2C%20TX%2079764,1,
Dial Hardware,206 Marcos Honojo(s)a Ave,Hebbronville,TX,78361,(361) 527-3262,Verified current listing,True,"206 Marcos Honojo(s)a Ave, Hebbronville, TX 78361",https://www.google.com/maps/search/?api=1&query=206%20Marcos%20Honojo%28s%29a%20Ave%2C%20Hebbronville%2C%20TX%2078361,1,Verify street spelling from source scan.
Earl Agri-Business Co,292 S. 7th St.,Raymondville,TX,78580,(956) 689-2235,Verified current listing,True,"292 S. 7th St., Raymondville, TX 78580",https://www.google.com/maps/search/?api=1&query=292%20S.%207th%20St.%2C%20Raymondville%2C%20TX%2078580,1,
El Caporal,2417 W 7 Mile Line,Mission,TX,,,Needs phone verification,True,"2417 W 7 Mile Line, Mission, TX",https://www.google.com/maps/search/?api=1&query=2417%20W%207%20Mile%20Line%2C%20Mission%2C%20TX,1,ZIP not shown in source PDF.
El P.A.S.E. Feed Store,1250 N. FM 492,Mission,TX,78574,(956) 581-0591,Verified current listing,True,"1250 N. FM 492, Mission, TX 78574",https://www.google.com/maps/search/?api=1&query=1250%20N.%20FM%20492%2C%20Mission%2C%20TX%2078574,1,
El Tigre Zapata #101,1302 N US Highway 83,Zapata,TX,78076,(956) 765-3334,Verified on current El Tigre listing,True,"1302 N US Highway 83, Zapata, TX 78076",https://www.google.com/maps/search/?api=1&query=1302%20N%20US%20Highway%2083%2C%20Zapata%2C%20TX%2078076,1,
El Tigre #534,1895 FM 511,Brownsville,TX,78526,(956) 561-3142,Verified on current Tex-Best listing,True,"1895 FM 511, Brownsville, TX 78526",https://www.google.com/maps/search/?api=1&query=1895%20FM%20511%2C%20Brownsville%2C%20TX%2078526,1,
El Tigre Food Store #101 Zapata,1302 N. US Hwy 83,Zapata,TX,78576,(956) 765-3334,Verified on current El Tigre listing,True,"1302 N. US Hwy 83, Zapata, TX 78576",https://www.google.com/maps/search/?api=1&query=1302%20N.%20US%20Hwy%2083%2C%20Zapata%2C%20TX%2078576,1,Source shows ZIP 78576; differs from other Zapata listing.
El Tigre Food Store #102,101 Pete Diaz Ave.,Rio Grande City,TX,78582,(956) 487-8262,Verified on current El Tigre listing,True,"101 Pete Diaz Ave., Rio Grande City, TX 78582",https://www.google.com/maps/search/?api=1&query=101%20Pete%20Diaz%20Ave.%2C%20Rio%20Grande%20City%2C%20TX%2078582,1,
El Tigre Food Store #108,2828 W Monte Cristo Rd,Edinburg,TX,78542,(956) 318-3090,Verified on current El Tigre listing,True,"2828 W Monte Cristo Rd, Edinburg, TX 78542",https://www.google.com/maps/search/?api=1&query=2828%20W%20Monte%20Cristo%20Rd%2C%20Edinburg%2C%20TX%2078542,1,
El Tigre Food Store #109,5251 E Hwy 83,Rio Grande City,TX,78572,(956) 487-8431,Verified on current El Tigre listing,True,"5251 E Hwy 83, Rio Grande City, TX 78572",https://www.google.com/maps/search/?api=1&query=5251%20E%20Hwy%2083%2C%20Rio%20Grande%20City%2C%20TX%2078572,1,
El Tigre Food Store #117,1671 East Grant St,Escobares,TX,78584,(956) 849-2494,Matched by source address to current El Tigre listing,True,"1671 East Grant St, Escobares, TX 78584",https://www.google.com/maps/search/?api=1&query=1671%20East%20Grant%20St%2C%20Escobares%2C%20TX%2078584,1,
El Tigre Food Store #118 University,2847 W University Dr,Edinburg,TX,78842,(956) 386-1574,Verified on current El Tigre listing,True,"2847 W University Dr, Edinburg, TX 78842",https://www.google.com/maps/search/?api=1&query=2847%20W%20University%20Dr%2C%20Edinburg%2C%20TX%2078842,1,Source scan shows ZIP 78842; verify before publishing.
El Tigre Food Store #122,5925 7 Mile Line Shary Rd,Mission,TX,78572,,Needs phone verification,True,"5925 7 Mile Line Shary Rd, Mission, TX 78572",https://www.google.com/maps/search/?api=1&query=5925%207%20Mile%20Line%20Shary%20Rd%2C%20Mission%2C%20TX%2078572,1,
El Tigre Food Store #123 Roma,1671 E. Grant St.,Roma,TX,78584,(956) 849-2494,Verified on current El Tigre listing,True,"1671 E. Grant St., Roma, TX 78584",https://www.google.com/maps/search/?api=1&query=1671%20E.%20Grant%20St.%2C%20Roma%2C%20TX%2078584,1,
El Tigre Food Store #127,3301 2 Mile Line Shary Rd,Mission,TX,78572,(956) 583-8250,Matched to current N Shary Rd El Tigre listing,True,"3301 2 Mile Line Shary Rd, Mission, TX 78572",https://www.google.com/maps/search/?api=1&query=3301%202%20Mile%20Line%20Shary%20Rd%2C%20Mission%2C%20TX%2078572,1,
El Tigre Food Store #22 P-122,5925 E State Hwy 107,McAllen,TX,78504,(956) 584-0312,Matched to current State Hwy 107 El Tigre listing,True,"5925 E State Hwy 107, McAllen, TX 78504",https://www.google.com/maps/search/?api=1&query=5925%20E%20State%20Hwy%20107%2C%20McAllen%2C%20TX%2078504,2,
El Tigre Food Store #519,5015 U.S. 281,Alice,TX,78332,(361) 668-8877,Verified current listing,True,"5015 U.S. 281, Alice, TX 78332",https://www.google.com/maps/search/?api=1&query=5015%20U.S.%20281%2C%20Alice%2C%20TX%2078332,2,
El Tigre Food Store #524,115 S. Hwy 281 Bypass,Alice,TX,78332,(361) 396-0887,Verified current listing,True,"115 S. Hwy 281 Bypass, Alice, TX 78332",https://www.google.com/maps/search/?api=1&query=115%20S.%20Hwy%20281%20Bypass%2C%20Alice%2C%20TX%2078332,2,
El Tigre Food Store #532 San Manuel,36188 N. Expressway 281,San Manuel,TX,78542,(956) 929-6711,Verified current listing at 36188 N Expressway 281,True,"36188 N. Expressway 281, San Manuel, TX 78542",https://www.google.com/maps/search/?api=1&query=36188%20N.%20Expressway%20281%2C%20San%20Manuel%2C%20TX%2078542,2,
El Tigre Food Store #533 La Blanca,13625 TX-107 & FM 493,La Blanca,TX,,(956) 974-3622,Verified current Tex-Best listing at 13625 E State Hwy 107,True,"13625 TX-107 & FM 493, La Blanca, TX",https://www.google.com/maps/search/?api=1&query=13625%20TX-107%20%26%20FM%20493%2C%20La%20Blanca%2C%20TX,2,ZIP not shown in source PDF.
El Tigre Food Store Auburn #115,3624 Auburn Ave,McAllen,TX,78504,(956) 720-4424,Verified on current El Tigre listing,True,"3624 Auburn Ave, McAllen, TX 78504",https://www.google.com/maps/search/?api=1&query=3624%20Auburn%20Ave%2C%20McAllen%2C%20TX%2078504,2,
El Tigre Food Store Escobares #117,4504 W Hwy 83,Escobares,TX,78584,(956) 847-1981,Verified current listing for W Hwy 83 location,True,"4504 W Hwy 83, Escobares, TX 78584",https://www.google.com/maps/search/?api=1&query=4504%20W%20Hwy%2083%2C%20Escobares%2C%20TX%2078584,2,
El Tigre Food Store Moorefield #114,2903 7 Mile Line Moorefield Rd,Alton,TX,78573,(956) 585-5506,Verified current listing for 2903 W 7 Mile Rd,True,"2903 7 Mile Line Moorefield Rd, Alton, TX 78573",https://www.google.com/maps/search/?api=1&query=2903%207%20Mile%20Line%20Moorefield%20Rd%2C%20Alton%2C%20TX%2078573,2,
El Tigre Food Store Roma #123,1671 East Grant St,Roma,TX,78584,(956) 849-2494,Verified current listing,True,"1671 East Grant St, Roma, TX 78584",https://www.google.com/maps/search/?api=1&query=1671%20East%20Grant%20St%2C%20Roma%2C%20TX%2078584,2,
El Tigre San Manuel #532,36188 N Expressway 281,San Manuel,TX,78542,(956) 929-6711,Verified current listing at 36188 N Expressway 281,True,"36188 N Expressway 281, San Manuel, TX 78542",https://www.google.com/maps/search/?api=1&query=36188%20N%20Expressway%20281%2C%20San%20Manuel%2C%20TX%2078542,2,
El Tigre Store George West #526,100 N Nueces St,George West,TX,78022,(361) 449-2800,Verified current listing,True,"100 N Nueces St, George West, TX 78022",https://www.google.com/maps/search/?api=1&query=100%20N%20Nueces%20St%2C%20George%20West%2C%20TX%2078022,2,
